onset	duration	sample	trial_type	value
475.018	0.002	237510	Stimulus	S 30
475.668	0.002	237835	Response	CR
475.87	0.002	237936	Stimulus	S120
476	0.002	238001	Scanner	Scan Start
478	0.002	239001	Scanner	Scan Start
480	0.002	240001	Scanner	Scan Start
482	0.002	241001	Scanner	Scan Start
484	0.002	242001	Scanner	Scan Start
485.056	0.002	242529	Stimulus	S 30
485.664	0.002	242833	Response	CR
485.866	0.002	242934	Stimulus	S110
486	0.002	243001	Scanner	Scan Start
488	0.002	244001	Scanner	Scan Start
490	0.002	245001	Scanner	Scan Start
492	0.002	246001	Scanner	Scan Start
493.056	0.002	246529	Stimulus	S 10
494	0.002	247001	Scanner	Scan Start
494.118	0.002	247060	Response	MISS
495.82	0.002	247911	Stimulus	S161
496	0.002	248001	Scanner	Scan Start
498	0.002	249001	Scanner	Scan Start
500	0.002	250001	Scanner	Scan Start
502	0.002	251001	Scanner	Scan Start
503.018	0.002	251510	Stimulus	S 30
503.716	0.002	251859	Response	CR
503.918	0.002	251960	Stimulus	S120
504	0.002	252001	Scanner	Scan Start
506	0.002	253001	Scanner	Scan Start
508	0.002	254001	Scanner	Scan Start
510	0.002	255001	Scanner	Scan Start
511.076	0.002	255539	Stimulus	S 30
512	0.002	256001	Scanner	Scan Start
512.128	0.002	256065	Response	CR
512.33	0.002	256166	Stimulus	S140
514	0.002	257001	Scanner	Scan Start
516	0.002	258001	Scanner	Scan Start
518	0.002	259001	Scanner	Scan Start
519.056	0.002	259529	Stimulus	S 40
519.978	0.002	259990	Response	CR
520	0.002	260001	Scanner	Scan Start
520.18	0.002	260091	Stimulus	S130
522	0.002	261001	Scanner	Scan Start
524	0.002	262001	Scanner	Scan Start
526	0.002	263001	Scanner	Scan Start
528	0.002	264001	Scanner	Scan Start
529.038	0.002	264520	Stimulus	S 40
530	0.002	265001	Scanner	Scan Start
530.304	0.002	265153	Response	CR
530.506	0.002	265254	Stimulus	S140
532	0.002	266001	Scanner	Scan Start
534	0.002	267001	Scanner	Scan Start
536	0.002	268001	Scanner	Scan Start
538	0.002	269001	Scanner	Scan Start
539.038	0.002	269520	Stimulus	S 10
540	0.002	270001	Scanner	Scan Start
540.094	0.002	270048	Response	Hit
540.296	0.002	270149	Stimulus	S110
542	0.002	271001	Scanner	Scan Start
544	0.002	272001	Scanner	Scan Start
546	0.002	273001	Scanner	Scan Start
547.018	0.002	273510	Stimulus	S 10
547.986	0.002	273994	Response	MISS
548	0.002	274001	Scanner	Scan Start
548.188	0.002	274095	Stimulus	S150
550	0.002	275001	Scanner	Scan Start
552	0.002	276001	Scanner	Scan Start
554	0.002	277001	Scanner	Scan Start
555.076	0.002	277539	Stimulus	S 30
555.74	0.002	277871	Response	CR
555.94	0.002	277971	Stimulus	S130
556	0.002	278001	Scanner	Scan Start
558	0.002	279001	Scanner	Scan Start
560	0.002	280001	Scanner	Scan Start
562	0.002	281001	Scanner	Scan Start
563.096	0.002	281549	Stimulus	S 20
564	0.002	282001	Scanner	Scan Start
564.272	0.002	282137	Response	CR
564.474	0.002	282238	Stimulus	S140
566	0.002	283001	Scanner	Scan Start
568	0.002	284001	Scanner	Scan Start
570	0.002	285001	Scanner	Scan Start
572	0.002	286001	Scanner	Scan Start
573.02	0.002	286511	Stimulus	S 40
574	0.002	287001	Scanner	Scan Start
574.118	0.002	287060	Response	FA
574.318	0.002	287160	Stimulus	S180
576	0.002	288001	Scanner	Scan Start
578	0.002	289001	Scanner	Scan Start
580	0.002	290001	Scanner	Scan Start
582	0.002	291001	Scanner	Scan Start
583.02	0.002	291511	Stimulus	S 10
584	0.002	292001	Scanner	Scan Start
584.43	0.002	292216	Response	MISS
584.63	0.002	292316	Stimulus	S170
586	0.002	293001	Scanner	Scan Start
588	0.002	294001	Scanner	Scan Start
590	0.002	295001	Scanner	Scan Start
591.058	0.002	295530	Stimulus	S 40
591.946	0.002	295974	Response	CR
592	0.002	296001	Scanner	Scan Start
592.146	0.002	296074	Stimulus	S110
594	0.002	297001	Scanner	Scan Start
596	0.002	298001	Scanner	Scan Start
598	0.002	299001	Scanner	Scan Start
600	0.002	300001	Scanner	Scan Start
601.038	0.002	300520	Stimulus	S 20
602	0.002	301001	Scanner	Scan Start
602.214	0.002	301108	Response	CR
602.414	0.002	301208	Stimulus	S130
604	0.002	302001	Scanner	Scan Start
606	0.002	303001	Scanner	Scan Start
608	0.002	304001	Scanner	Scan Start
609.096	0.002	304549	Stimulus	S 30
610	0.002	305001	Scanner	Scan Start
610.05	0.002	305026	Response	FA
611.75	0.002	305876	Stimulus	S181
612	0.002	306001	Scanner	Scan Start
614	0.002	307001	Scanner	Scan Start
616	0.002	308001	Scanner	Scan Start
617.076	0.002	308539	Stimulus	S 20
618	0.002	309001	Scanner	Scan Start
